Tumor_Barcode	CLS_clonal_early	CLS_clonal_late	CLS_clonal_NA	CLS_subclonal
NSLC-0186-T01	0.2926580557443916	0.04758667573079538	0.40686607749830045	0.24269204622705642
NSLC-0187-T01	0.42567567567567566	0.23529411764705882	0.07730524642289348	0.24185214626391097
NSLC-0188-T01	0.02193866129393329	6.71591672263264e-4	0.7750167897918065	0.15267517349451534
NSLC-0189-T01	0.1193062368605466	0.12491240364400841	0.3333917309039944	0.36387526278906795
NSLC-0190-T01	0.001841620626151013	0.001841620626151013	0.9383057090239411	0.027624309392265192
NSLC-0191-T01	0.3619298245614035	0.49087719298245613	5.263157894736842e-4	0.13052631578947368
NSLC-0192-T01	0.2717895822588963	0.27754856455217464	0.2023379749011518	0.19434416365824309
NSLC-0193-T01	0.2269627897915449	0.251704656146503	0.22930060393532048	0.24274303526203
NSLC-0194-T01	0.10954792721815794	0.2629900581504408	0.5921965860063778	0.008441193021947102
NSLC-0195-T01	0.03601480982834063	0.013463480309660047	0.8990238976775496	0.001682935038707506
NSLC-0196-T01	0.030814473852448537	0.0016621915356092572	0.30175169415675746	0.6508119166347014
NSLC-0197-T01	0.0431756669673927	0.035958242041500194	0.4755767495811316	0.4300811960304163
NSLC-0198-T01	0.38219895287958117	0.23534031413612566	0.1387434554973822	0.22094240837696336
NSLC-0199-T01	0.008377760853008377	0.0026656511805026656	0.7003046458492003	0.26808834729626807
NSLC-0200-T01	0.04865616311399444	0.03822984244670992	0.2958758109360519	0.6040315106580166
NSLC-0201-T01	0.027184466019417475	9.70873786407767e-4	0.587378640776699	0.34951456310679613
NSLC-0203-T01	0.12401636764242996	0.5829398803903053	NA	0.27101038715769593
NSLC-0205-T01	0.015250715489865526	7.056886344924923e-4	0.8730936605637668	0.05857215666287686
NSLC-0207-T01	0.04211187932118165	0.001047559187094071	0.751937984496124	0.1583909490886235
NSLC-0209-T01	0.6951026856240127	0.2856240126382307	NA	3.15955766192733e-4
NSLC-0210-T01	NA	0.003848845346396081	0.9650104968509448	0.01749475157452764
NSLC-0212-T01	7.886435331230284e-4	7.886435331230284e-4	0.4514984227129338	0.5331230283911672
NSLC-0213-T01	0.027158492095662748	0.0014187271990271585	0.8419132549655451	0.07600324280502635
NSLC-0215-T01	0.06397477624084622	0.06194060211554109	0.048616761594792515	0.8113303498779495
NSLC-0216-T01	0.6725614810721193	0.23321359491572258	0.00911854103343465	0.029289859077093118
NSLC-0217-T01	0.030862266708372433	0.1011364821186529	0.22406422687936609	0.6335105828380774
NSLC-0218-T01	0.08102025506376594	7.501875468867217e-4	0.8649662415603901	0.033008252063015754
NSLC-0219-T01	0.00054945054945054945	0.0016483516483516484	0.7785714285714286	0.1989010989010989
NSLC-0220-T01	0.034097706879361915	0.021335992023928215	0.8943170488534397	5.982053838484546e-4
NSLC-0221-T01	0.5766900510204082	0.17697704081632654	0.06138392857142857	0.16661352040816327
NSLC-0222-T01	0.7265319426336375	0.12092568448500651	0.13265971316818775	0.003911342894393742
NSLC-0223-T01	0.003631411711302769	NA	0.7149341806627326	0.2682705401724921
NSLC-0225-T01	0.09451697127937336	0.312532637075718	0.35848563968668407	0.22245430809399477
NSLC-0226-T01	0.2148036253776435	0.19924471299093655	0.36918429003021147	0.20453172205438067
NSLC-0227-T01	0.5203361344537815	0.2741176470588235	0.0949579831932773	0.09647058823529411
NSLC-0228-T01	0.10257284034758903	0.2506389504174476	0.47793491225080936	0.15675583574714602
NSLC-0229-T01	0.018404907975460124	9.438414346389807e-4	0.9542236904200094	0.002831524303916942
NSLC-0230-T01	0.289086859688196	0.1973273942093541	0.27260579064587975	0.21959910913140313
NSLC-0231-T01	0.3242953683863524	0.30319762650403825	0.2883632767430361	0.0718641832866326
NSLC-0232-T01	0.005716798592788039	NA	0.11213720316622691	0.8157431838170625
NSLC-0233-T01	0.24756606397774686	0.414843848779871	0.21191048172967505	0.10823112909343785
NSLC-0236-T01	0.01015228426395939	NA	0.928666844776917	0.05156291744589901
NSLC-0237-T01	0.011959521619135235	0.0018399264029438822	0.8252069917203312	0.13983440662373506
NSLC-0238-T01	0.09791291629162917	0.46422142214221424	0.39381750675067506	0.03319081908190819
